competition,year,topic,name,pages,size,converted,path,sha256
MathorCup,第五届（年份待核实）,C题,一等奖C题_东北石油大学_狄喜凤_支树宝_任泽彬.pdf,44,580321,False,6-1优秀论文库/MathorCup/第五届（年份待核实）/C题/一等奖C题_东北石油大学_狄喜凤_支树宝_任泽彬.pdf,d32ad68e6508f7fe08b55e306b09019219f8aed9e0cc1ca1b8bfffc74a2e2061
MathorCup,第五届（年份待核实）,综合,1431651551565282.pdf,2,250910,False,6-1优秀论文库/MathorCup/第五届（年份待核实）/综合/1431651551565282.pdf,3115de5f6afc2e3c8b5c3db29de34780e4bb477e03d467e965aa98a251d342e6
MathorCup,第五届（年份待核实）,D题,一等奖D题_武汉大学_王桐_蔡家骏_李默颖.pdf,35,1434847,False,6-1优秀论文库/MathorCup/第五届（年份待核实）/D题/一等奖D题_武汉大学_王桐_蔡家骏_李默颖.pdf,73b72d9a6c8b662691d26511356fd84f9bd8701eff98491aa55ae7193aaf906b
MathorCup,第五届（年份待核实）,A题,一等奖A题_山东理工大学_胡展_尹金风_曹婷婷.pdf,27,502640,False,6-1优秀论文库/MathorCup/第五届（年份待核实）/A题/一等奖A题_山东理工大学_胡展_尹金风_曹婷婷.pdf,ea33c96096c60ca4710f3c6cffa181c6b72190485827e35c021c298911fdb081
MathorCup,第五届（年份待核实）,B题,一等奖B题_山东农业大学_张东航_朱思程_杜明慧.pdf,28,943373,False,6-1优秀论文库/MathorCup/第五届（年份待核实）/B题/一等奖B题_山东农业大学_张东航_朱思程_杜明慧.pdf,e6b7dd3c4fb49510aadc525e479009b1bf2a3753aaaa599418fa91874fb3b7a7
MathorCup,第六届（年份待核实）,A题,华中农大特等奖.pdf,38,2111033,False,6-1优秀论文库/MathorCup/第六届（年份待核实）/A题/华中农大特等奖.pdf,9e115d3749f55054ff4aebc90430a43b10e7634147fed84b615d354277420d67
MathorCup,第六届（年份待核实）,B题,第六届MathorCup大学生数学建模挑战赛论文格式规范（Word转PDF）.pdf,1,152170,True,6-1优秀论文库/MathorCup/第六届（年份待核实）/A题/第六届MathorCup大学生数学建模挑战赛论文格式规范（Word转PDF）.pdf,4612c43c3af698560a2fb8565fe27e2113a05965f11eeabbd72e8e5f481436f9
MathorCup,第六届（年份待核实）,B题,江西师范大学二等奖B.pdf,18,1302273,False,6-1优秀论文库/MathorCup/第六届（年份待核实）/B题/江西师范大学二等奖B.pdf,07f69dc7afaf602342ab9932a60e07251e1da5416cce7b5e7dccef16464239f1
MathorCup,第六届（年份待核实）,A题,常州大学一等奖.pdf,37,1222622,False,6-1优秀论文库/MathorCup/第六届（年份待核实）/A题/常州大学一等奖.pdf,91ec8340387d03fe27c0a32a675b50d514f916a2208aa4bc70e28ef576d47fa8
MathorCup,第六届（年份待核实）,A题,华北电力大学一等奖.pdf,25,1389701,False,6-1优秀论文库/MathorCup/第六届（年份待核实）/A题/华北电力大学一等奖.pdf,ea6ff4bf783fa6eb0191f51f4a1eb4bebbec80be85a13ebff95a32c66e959ef0
MathorCup,第六届（年份待核实）,B题,西南交通大学一等奖B.pdf,29,1037698,False,6-1优秀论文库/MathorCup/第六届（年份待核实）/B题/西南交通大学一等奖B.pdf,4c647ba897d1a56e938c72f101abda827d567dabe01d2723772265d5db8fb9e0
MathorCup,第六届（年份待核实）,A题,武汉大学一等奖A.pdf,51,1340335,False,6-1优秀论文库/MathorCup/第六届（年份待核实）/A题/武汉大学一等奖A.pdf,16b29e2c6410541f00a809f0d7bfa13e6ff41b49a204e39acea0f5623b9c9826
MathorCup,第六届（年份待核实）,A题,成都理工大学二等奖A题.pdf,38,1288023,False,6-1优秀论文库/MathorCup/第六届（年份待核实）/A题/成都理工大学二等奖A题.pdf,53bc93305cbc1f698b75598c50a03cd9f7b030367f427b762185b149cf4f59c4
